鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
石碇區,土地,崩山段磨石坑小段251-10地號,3422.0,,山坡地保育區,林業用地,1130906,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3580000,1046,,0.0,0,未登記建物；,RPXNMLMKRHJGFCF98DA,0.0,0.0,0.0,無,0014
汐止區,車位,新北市汐止區鄉長路一段３１之１號,0.29,住,,,1130907,土地1建物1車位1,一層,二十八層,其他,住家用,鋼骨鋼筋混凝土造,0860111,22.15,0,0,0,無,有,300000,,坡道機械,22.16,300000,僅車位交易；,RPOOMLNJRHJGFDF28DA,0.0,0.0,0.0,有,0015
汐止區,車位,新北市汐止區鄉長路一段３１之１號,0.29,住,,,1130907,土地1建物1車位1,一層,二十八層,其他,住家用,鋼骨鋼筋混凝土造,0860111,22.15,0,0,0,無,有,300000,,坡道機械,22.16,300000,僅車位交易；,RPTNMLQJRHJGFDF98DA,0.0,0.0,0.0,有,0015
三芝區,房地(土地+建物)+車位,新北市三芝區樂全街１９號七樓,30.25,,山坡地保育區,丙種建築用地,1130901,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850605,90.53,2,1,1,有,有,3300000,36452,坡道平面,0.0,0,,RPWRMLNKRHJGFEF96DA,47.8,0.75,6.5,有,
淡水區,土地,下圭柔山段541地號,30.73,,,,1130904,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,511500,16645,,0.0,0,,RPTNMLQKRHJGFEF56DA,0.0,0.0,0.0,無,0017
淡水區,土地,下圭柔山段541地號,30.73,,,,1130904,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,511500,16645,,0.0,0,,RPUNMLQKRHJGFEF66DA,0.0,0.0,0.0,無,0017
蘆洲區,車位,新北市蘆洲區中山一路２２３巷６號等,2.1,住,,,1130905,土地1建物1車位1,,,其他,,,,17.01,0,0,0,無,有,1000000,,升降機械,17.01,1000000,僅車位交易；,RPQOMLMKRHJGFGF78DA,0.0,0.0,0.0,有,
樹林區,房地(土地+建物)+車位,新北市樹林區保安街二段３１巷２號四樓之２,10.69,住,,,1130905,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840908,134.89,3,2,2,有,有,12000000,88961,升降機械,0.0,1200000,陽台外推；,RPXNMLMKRHJGFIF96DA,77.3,0.0,28.42,有,
三芝區,房地(土地+建物),新北市三芝區樂全街１１０號五樓,16.94,,山坡地保育區,丙種建築用地,1130904,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850529,41.88,1,1,1,有,有,1720000,41070,,0.0,0,陽台外推；,RPSNMLQKRHJGFEF56EA,31.46,0.79,3.88,有,
瑞芳區,土地,吉安段131地號,102.0,,山坡地保育區,農牧用地,1130912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,188888,1852,,0.0,0,地清或未辦繼承標售；,RPPNMLNKRHJGFFF68EA,0.0,0.0,0.0,無,
三峽區,土地,民權段497地號,40.68,都市：其他:第一種歷史風貌特定專用區,,,1130911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4220000,103736,,0.0,0,地清或未辦繼承標售；,RPQNMLNKRHJGFIF09EA,0.0,0.0,0.0,無,
林口區,土地,南勢段71地號,69.43,都市：其他:農業區,,,1130905,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2100000,30246,,0.0,0,,RPSNMLLKRHJGFBF28DA,0.0,0.0,0.0,無,
