鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
小港區,租賃房屋,高雄市小港區高坪三十七路４０６號,0.0,,,,1130727,土地0建物0車位0,全,4,透天厝,店鋪、集合住宅,鋼筋混凝土,1081105,18.07,6,0,6,有,無,有,7000,387,,0.0,0,多人共同承租2；租金總額含水費；網路費；其他第四台；,RPSNMLOKQHJGFCE58CC,分租套房,無,1130801~1140731,無,冷氣、洗衣機、電視機、冰箱、有線電視、網路,一般代管
前鎮區,租賃房屋,高雄市前鎮區和平二路１２７之１號二樓之４,0.0,,,,1130808,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土,1111027,32.89,1,0,1,有,無,有,8200,249,,0.0,0,,RPTNMLOKQHJGFCE68CC,獨立套房,有,1130808~1140807,有,冷氣、熱水器、洗衣機、冰箱,一般轉租
前鎮區,租賃房屋,高雄市前鎮區和平二路１２７之１號四樓之２２,0.0,,,,1130809,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土,1111027,42.31,1,0,1,有,無,有,10700,253,,0.0,0,,RPUNMLOKQHJGFCE78CC,獨立套房,有,1130810~1140809,有,冷氣、熱水器、洗衣機、冰箱,一般轉租
前鎮區,租賃房屋,高雄市前鎮區和平二路１２７之１號二樓之４,0.0,,,,1130808,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土,1111027,32.89,1,0,1,有,無,有,8200,249,,0.0,0,,RPWNMLOKQHJGFCE98CC,獨立套房,有,1130808~1140807,有,冷氣、熱水器、洗衣機、冰箱,一般轉租
前鎮區,租賃房屋,高雄市前鎮區和平二路１２７之１號四樓之２２,0.0,,,,1130809,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土,1111027,42.31,1,0,1,有,無,有,10700,253,,0.0,0,,RPXNMLOKQHJGFCE09CC,獨立套房,有,1130810~1140809,有,冷氣、熱水器、洗衣機、冰箱,一般轉租
前鎮區,租賃房屋,高雄市前鎮區育樂路９６號五樓,0.0,,,,1130805,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680920,73.07,3,1,1,有,無,無,6000,82,,0.0,0,續租案件；,RPPOMLOKQHJGFCE38CC,整棟(戶)出租,無,1130805~1140804,無,冷氣、熱水器、洗衣機、電視機,社會住宅代管
前鎮區,租賃房屋,高雄市前鎮區二聖二巷３０之２號,0.0,,,,1130810,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),公寓住宅,鋼筋混凝土造,0651211,68.04,3,2,1,有,無,有,12000,176,,0.0,0,,RPQOMLOKQHJGFCE48CC,整棟(戶)出租,無,1130816~1150915,無,熱水器,
前鎮區,租賃房屋,高雄市前鎮區林森三路１９９號１樓,0.0,,,,1130813,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),店舖,鋼筋混凝土造,0640505,110.97,0,0,0,無,無,有,43000,387,,0.0,0,室內裝潢、傢電、生財器具為屋主所有.,RPROMLOKQHJGFCE58CC,,無,1130901~1180831,無,冷氣,
三民區,租賃房屋,高雄市三民區民祥街８號四樓之２,0.0,,,,1130808,土地0建物1車位0,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840719,163.68,3,0,3,有,有,有,8100,49,,0.0,0,續租案件；,RPRNMLOKQHJGFDE58CC,整棟(戶)出租,有,1130925~1140815,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
三民區,租賃房屋,高雄市三民區皓東路１４６號９樓之１,0.0,,,,1130805,土地0建物1車位0,見其他登記事項,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830523,127.83999999999999,4,2,2,有,有,有,20000,156,,0.0,0,,RPSNMLOKQHJGFDE68CC,整棟(戶)出租,有,1130819~1140818,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
