鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北屯區,房地(土地+建物)+車位,臺中市北屯區新平路三段４５１號六樓之２,30.41,都市：其他:第三種住宅區。,,,1130702,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061225,162.82999999999998,3,2,2,有,有,14600000,89664,坡道平面,25.11,0,,RPPNMLRKQHJGFBB08DA,80.62,0.0,13.25,有,0095
北屯區,房地(土地+建物),臺中市北屯區東光路８９２巷２號１０樓之２０,10.61,都市：其他:市場用地,,,1130726,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830815,123.78999999999999,3,1,2,有,有,9600000,77551,,0.0,0,,RPXUMLKLQHJGFBB98DA,81.05,0.0,12.08,有,0096
北屯區,房地(土地+建物),臺中市北屯區遼陽北二街４８之４號,24.01,都市：其他:第二種住宅區,,,1130711,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720427,90.5,3,2,2,有,無,3820000,42210,,0.0,0,陽台外推；頂樓加蓋；,RPOOMLLLQHJGFBB57DA,78.31,0.0,8.04,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路７０９號二十樓之９,13.07,都市：其他:第二之一種住宅區,,,1130727,土地2建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130521,111.4,2,2,1,有,有,12800000,114901,坡道平面,30.08,0,,RPXNMLQLQHJGFBB88DA,50.72,0.0,3.09,有,0097
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路５３３巷２０５號,95.54,都市：其他:第二種住宅區,,,1130724,土地4建物1車位1,全,五層,透天厝,住家用,鋼筋混凝土造,0880909,197.74,4,3,3,有,有,23300000,117831,坡道平面,25.13,0,跨所案件另有基地為台中市潭子區家興段1529地號持分面積0.54平方公尺1530地號持分面積3.46平方公尺頂樓加蓋；其他增建；預售屋、或土地及建物分件登記案件；,RPWRMLRLQHJGFBB66DA,181.36,0.0,14.14,無,0098
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段８之５號１樓,14.44,都市：其他:第二種住宅區,,,1130721,土地2建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850618,77.18,2,2,1,有,有,6900000,89401,,0.0,0,,RPQPMLKMQHJGFBB87DA,51.62,8.12,0.0,有,
北屯區,房地(土地+建物),臺中市北屯區松明街１４７巷９號,104.0,都市：其他:第二種住宅區,,,1130727,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720622,112.62,5,2,2,有,無,15680000,139229,,0.0,0,其他增建；,RPSNMLPJRHJGFBB18DA,106.65,1.68,4.29,無,0099
北區,房地(土地+建物)+車位,臺中市北區青島東街５１號６樓２,20.73,都市：其他:第二種住宅區,,,1130720,土地2建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831005,123.09,2,2,2,有,無,9680000,78642,坡道機械,0.0,450000,陽台外推；,RPQOMLPJRHJGFBB08DA,83.54,5.6,10.53,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區楓樹西街１８９號二樓之３,25.26,住,,,1130716,土地3建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120828,152.82999999999998,3,2,2,有,有,20200000,142562,坡道平面,26.92,2250000,,RPROMLQLPHJGFCB38DA,77.87,0.0,5.4,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區東興路二段３１號十樓之１,12.65,住,,,1130715,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880511,123.88,3,2,2,有,有,14380000,116080,坡道機械,8.27,0,,RPUOMLTLPHJGFCB98DA,75.97,0.0,10.67,有,0100
西屯區,房地(土地+建物)+車位,臺中市西屯區環中路二段１５７７號十樓之８,8.47,商,,,1130719,土地1建物1車位1,十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071210,83.18,2,2,1,有,有,12380000,151408,坡道機械,9.67,1250000,,RPPSMLQJQHJGFCB48DA,42.68,1.32,4.68,有,0101
南屯區,房地(土地+建物)+車位,臺中市南屯區嶺東南路３７之５０號,79.88,住,,,1130718,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0861215,209.75,4,3,3,有,有,19680000,93826,坡道平面,0.0,0,,RPUOMLMKQHJGFCB28DA,145.96,0.0,29.74,無,0102
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明路二段１９２號五樓,12.55,住,,,1130720,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830912,114.54,3,2,2,有,有,11800000,103021,坡道機械,0.0,0,,RPVNMLNKQHJGFCB38DA,76.57,0.0,4.58,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區市政南一路１００號十二樓之９,28.18,住,,,1130718,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070129,179.01999999999998,3,2,2,有,有,29980000,167467,坡道平面,30.98,0,,RPPPMLLLQHJGFCB87DA,85.91,2.67,9.33,有,0103
西屯區,房地(土地+建物),臺中市西屯區寧夏西三街６０號,71.0,住,,,1130716,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0720331,161.5,6,4,5,有,無,22500000,139319,,0.0,0,,RPRPMLMLQHJGFCB18DA,149.99,2.2,9.31,無,0104
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路１２７號二十一樓之２,7.11,住,,,1130707,土地1建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,84.67,2,2,1,有,有,11700000,138184,坡道機械,13.89,0,,RPVNMLQLQHJGFCB78DA,43.28,1.66,3.83,有,0105
南屯區,房地(土地+建物)+車位,臺中市南屯區精誠路６７８號十二樓,16.99,住,,,1130723,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820108,134.45000000000002,3,2,2,有,有,14700000,109334,坡道機械,0.0,0,,RPSNMLSLQHJGFCB68DA,122.86,1.49,5.61,有,
西屯區,房地(土地+建物)+車位,臺中市西屯區漢翔路１０５號十樓之１,36.93,住,,,1130708,土地1建物1車位2,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010523,284.03999999999996,3,2,2,有,有,32900000,115829,坡道平面,69.4,0,,RPPNMLLMQHJGFCB77DA,126.48,7.41,15.45,有,
西屯區,房地(土地+建物),臺中市西屯區環中路三段９２６號三樓之３,17.47,農,,,1130703,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090320,59.3,2,2,2,有,有,8200000,138280,,0.0,0,,RPWOMLPJRHJGFCB78DA,32.49,0.0,4.08,有,0106
南屯區,房地(土地+建物),臺中市南屯區嶺東南路１５９號五樓之６,14.13,住,,,1130729,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090814,100.96000000000001,3,2,1,有,有,10900000,107964,,0.0,0,,RPPNMLQJRHJGFCB08DA,60.6,0.0,6.19,有,0107
