鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
埔里鎮,土地,南村段593地號,2992.08,,特定農業區,農牧用地,1130613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20364844,6806,,0.0,0,,RPQNMLNLQHJGFCM09DA,0.0,0.0,0.0,無,
埔里鎮,土地,南村段609地號,134.38,,特定農業區,甲種建築用地,1130613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3315202,24670,,0.0,0,,SPQNMLNLQHJGFCM56DA,0.0,0.0,0.0,無,
竹山鎮,土地,吉祥段178地號,392.2,工,,,1130628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,12749,,0.0,0,因移轉所生之土地增值稅、土地整地、廢棄物清運、鑑界等全部費用由承買人負擔。,RPTNMLTJRHJGFDM37DA,0.0,0.0,0.0,無,
埔里鎮,土地,南村段507地號,3483.61,,特定農業區,農牧用地,1130612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,36880000,10587,,0.0,0,農作物無價值。農作物；,RPVNMLOJRHJGFCM96DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮民權路１０９號,74.7,都市：其他:住宅區,,,1130630,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0930115,189.55,5,2,3,有,無,13940000,73543,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMJRHJGFCM88DA,167.95,0.0,21.6,無,
鹿谷鄉,土地,興產段533-8地號,61.4,商,,,1130612,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,35831,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKRHJGFDM56EA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮富中路３３９巷２２號,119.47,都市：其他:住宅區,,,1130624,土地7建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070822,177.39000000000001,5,3,4,有,無,9600000,54118,,0.0,0,,RPPNMLNKRHJGFBM88DA,177.24,0.0,0.0,無,030
國姓鄉,土地,北港溪段65-15地號,12252.0,,山坡地保育區,農牧用地,1130609,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12700000,1037,,0.0,0,農作物；,RPVNMLQLQHJGFCM27DA,0.0,0.0,0.0,無,
埔里鎮,土地,南村段372地號,2605.16,,特定農業區,農牧用地,1130612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14500000,5566,,0.0,0,,RPPNMLSKRHJGFCM86DA,0.0,0.0,0.0,無,
埔里鎮,土地,南村段368地號,7758.66,,特定農業區,農牧用地,1130612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,35204919,4537,,0.0,0,農作物；含租約；,RPQNMLSKRHJGFCM96DA,0.0,0.0,0.0,無,
