編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLQLQHJGFFK47CC,14,18.48,樓梯間、停車空間、機械室,ＲＣ造,99年5月14日,五層,,
RPUNMLQLQHJGFFK37CC,30,63.62,住家用,鋼筋混凝土造,83年11月28日,五層,,
RPPNMLTLQHJGFDK96CC,21,21.11,住家用,鋼筋混凝土造,92年7月16日,四層,,
RPPNMLTLQHJGFDK96CC,21,6.33,樓梯間,鋼筋混凝土造,92年7月16日,四層,,
RPUNMLQLQHJGFFK37CC,30,4.54,樓梯共同使用,鋼筋混凝土造,83年11月28日,五層,,
RPPNMLMJRHJGFFK98CC,51,24.00,住家用,磚造ＲＣ補強,62年9月4日,三層,,
RPRNMLMJRHJGFFK56CC,18,215.17,住宅、停車空間,ＲＣ造,95年8月3日,三層,,
RPRNMLMJRHJGFFK56CC,18,16.28,管理員室，機械室，受電室，停車空間,ＲＣ造,95年8月3日,三層,,
RPPNMLOKQHJGFDK98CC,47,120.10,住家用,加強磚造,67年1月11日,二層,,
RPPNMLMKQHJGFDK78CC,23,21.89,住家用,鋼筋混凝土造,90年6月29日,三層,,
RPPNMLMKQHJGFDK78CC,23,6.14,樓梯間、屋頂突出物,鋼筋混凝土造,90年6月29日,三層,,
