編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTLQHJGFAG98CC,27,9.23,防空避難室兼停車場通道、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPQNMLTLQHJGFAG98CC,27,13.22,停車場、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPUNMLRLQHJGFBG66CC,37,52.16,住家用,鋼筋混凝土造,77年1月12日,四層,,
RPPNMLTLQHJGFAG88CC,3,44.31,集合住宅,鋼筋混凝土造,110年9月17日,五層,,
RPPNMLTLQHJGFAG88CC,3,11.55,本共有部分之項目有樓梯間、機械室及儲水槽等３項。,鋼筋混凝土造,110年9月17日,五層,,
RPPNMLTLQHJGFAG88CC,3,6.86,本共有部分之項目有機電空間、停車空間等２項。,鋼筋混凝土造,110年9月17日,五層,,
RPRNMLTLQHJGFAG09CC,31,117.20,住家用,鋼筋混凝土造,82年12月20日,八層,,
RPRNMLTLQHJGFAG09CC,31,2.01,梯間、走道、防空避難室．停車場,鋼筋混凝土造,82年12月20日,八層,,
RPOOMLTLQHJGFAG88CC,2,63.35,集合住宅,鋼筋混凝土造,111年8月17日,五層,,
RPOOMLTLQHJGFAG88CC,2,13.93,本共有部分之項目有樓梯間、機械室及儲水槽等３項。,鋼筋混凝土造,111年8月17日,五層,,
RPOOMLTLQHJGFAG88CC,2,22.91,本共有部分之項目有停車空間、機電空間等２項。,鋼筋混凝土造,111年8月17日,五層,,
RPWNMLMJRHJGFAG78CC,2,86.07,集合住宅,鋼筋混凝土造,111年3月14日,五層,,
RPWNMLMJRHJGFAG78CC,2,53.74,本共有部分之項目有停車空間、樓梯間等２項。,鋼筋混凝土造,111年3月14日,五層,,
RPXNMLTLQHJGFAG07CC,29,92.77,住家用,鋼筋混凝土造,84年3月21日,五層,,
RPXNMLTLQHJGFAG07CC,29,12.94,Ｊ（梯間通道）共同使用,鋼筋混凝土造,84年3月21日,五層,,
RPUNMLMJRHJGFAG58CC,29,41.58,住家用,鋼筋混凝土造,84年10月5日,十二層,,
RPUNMLMJRHJGFAG58CC,29,8.18,共同使用部份：防空避難室．停車場．機械室．水箱．臺電受電室,鋼筋混凝土造,84年10月5日,十二層,,
RPUNMLMJRHJGFAG58CC,29,9.14,共同使用部份：梯間通道,鋼筋混凝土造,84年10月5日,十二層,,
RPROMLMJRHJGFBG48CC,32,33.00,住家用,鋼筋混凝土造,81年8月10日,五層,,
RPROMLMJRHJGFBG48CC,32,14.63,共有部分,鋼筋混凝土造,81年8月10日,五層,,
RPQOMLMJRHJGFBG38CC,43,114.64,住家用,鋼筋混凝土造,70年11月25日,二層,,
RPOOMLMJRHJGFAG08CC,2,63.35,集合住宅,鋼筋混凝土造,111年8月17日,五層,,
RPOOMLMJRHJGFAG08CC,2,13.93,本共有部分之項目有樓梯間、機械室及儲水槽等３項。,鋼筋混凝土造,111年8月17日,五層,,
RPOOMLMJRHJGFAG08CC,2,22.91,本共有部分之項目有停車空間、機電空間等２項。,鋼筋混凝土造,111年8月17日,五層,,
RPPNMLNJRHJGFAG18CC,45,164.28,住商用,鋼筋混凝土造,68年5月9日,三層,,
RPPNMLTJRHJGFAG78CC,18,85.74,住宅．店舖,鋼筋混凝土造,95年6月13日,三層,,
RPPOMLMJRHJGFBG28CC,18,41.64,集合住宅,鋼筋混凝土造,95年5月1日,八層,,
RPPOMLMJRHJGFBG28CC,18,34.80,共有部分,鋼筋混凝土造,95年5月1日,八層,,
RPXNMLMJRHJGFAG88CC,31,185.65,住家用,鋼筋混凝土造,82年8月3日,三層,,
