編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVOMLMKQHJGFBH98CC,5,30.03,本共有部分之項目有：停車空間、蓄水池、消防幫浦室、汙水及雨水回收機房、梯間、防空避難室兼停車空間、台電配電場所、電信室、垃圾處理室、發電機室、管委會使用空間、機房、水箱、噴灌機房及車道等十五項。,鋼筋混凝土造,108年9月16日,十層,,
RPUOMLMKQHJGFBH88CC,4,15.46,本共有部分之項目有：停車空間、樓梯間、電信室、機械房及梯間等五項,鋼筋混凝土造,109年11月25日,五層,,
RPXOMLMKQHJGFBH56CC,29,46.35,住家用,鋼筋混凝土造,84年2月14日,五層,,
RPXOMLMKQHJGFBH56CC,29,3.73,共有部分,鋼筋混凝土造,84年2月14日,五層,,
RPOPMLMKQHJGFBH38CC,8,59.52,工業社區（社區住宅）,鋼筋混凝土造,105年8月29日,五層,,
RPXOMLMKQHJGFBH56CC,29,3.10,共有部分,鋼筋混凝土造,84年2月14日,五層,,
RPOPMLMKQHJGFBH38CC,8,13.63,本共有部分之項目有：停車空間、管委會空間、樓梯間、水箱、梯廳、陽台、梯間、雨遮等共八項,鋼筋混凝土造,105年8月29日,五層,,
RPPPMLMKQHJGFBH48CC,4,45.07,集合住宅,鋼筋混凝土造,110年1月22日,五層,,
RPPPMLMKQHJGFBH48CC,4,11.16,本共有部分之項目有：管委會空間、停車空間、電信室、機電室、樓梯間、機械室、水箱、梯廳及蓄水池等九項。,鋼筋混凝土造,110年1月22日,五層,,
RPQPMLMKQHJGFBH58CC,15,48.25,住家用,鋼筋混凝土造,98年7月3日,十五層,,
RPQPMLMKQHJGFBH58CC,15,18.60,共有部分,鋼筋混凝土造,98年7月3日,十五層,,
RPVPMLMKQHJGFBH09CC,3,59.15,集合住宅,鋼筋混凝土造,110年9月3日,十五層,,
RPVPMLMKQHJGFBH09CC,3,60.32,本共有部分之項目有：防空避難室兼停車空間、汙水雨水機房、消防泵浦室、發電機室、蓄水池、梯間、停車空間、電信室、台電配電場所、垃圾冷藏室、管委會空間、機械室、水箱、排煙室、梯廳、垃圾回收室、梯廳（排煙室）、公共服務空間及管委會使用空間等十九項,鋼筋混凝土造,110年9月3日,十五層,,
RPPQMLMKQHJGFBH58CC,41,90.18,住家用,鋼筋混凝土造,72年6月17日,五層,,
RPTPMLMKQHJGFBH88CC,35,24.02,住家用,鋼筋混凝土造,78年5月29日,五層,,
RPTPMLMKQHJGFBH88CC,35,6.34,共有部分,鋼筋混凝土造,78年5月29日,五層,,
RPOQMLMKQHJGFBH48CC,24,76.93,住家用,鋼筋混凝土造,89年7月4日,十層,,
RPOQMLMKQHJGFBH48CC,24,11.11,共有部分,鋼筋混凝土造,89年7月4日,十層,,
RPOQMLMKQHJGFBH48CC,24,16.69,共有部分,鋼筋混凝土造,89年7月4日,十層,,
RPSPMLMKQHJGFBH78CC,31,66.75,住家用,鋼筋混凝土造,82年10月12日,七層,,
RPSPMLMKQHJGFBH78CC,31,9.22,共有部分,鋼筋混凝土造,82年10月12日,七層,,
RPWPMLMKQHJGFBH56CC,35,22.50,住家用,鋼筋混凝土造,78年5月29日,五層,,
RPSPMLMKQHJGFBH78CC,31,7.80,共有部分,鋼筋混凝土造,82年10月12日,七層,,
RPWPMLMKQHJGFBH56CC,35,6.34,共有部分,鋼筋混凝土造,78年5月29日,五層,,
RPQQMLMKQHJGFBH68CC,16,57.26,住家用,鋼筋混凝土造,97年4月28日,二十四層,,
RPQQMLMKQHJGFBH68CC,16,7.41,共有部分,鋼筋混凝土造,97年4月28日,二十四層,,
RPQQMLMKQHJGFBH68CC,16,13.77,共有部分,鋼筋混凝土造,97年4月28日,二十四層,,
RPRQMLMKQHJGFBH78CC,19,56.29,住家用,鋼筋混凝土造,94年5月19日,十一層,,
RPRQMLMKQHJGFBH78CC,19,7.60,共有部分,鋼筋混凝土造,94年5月19日,十一層,,
RPRQMLMKQHJGFBH78CC,19,11.71,共有部分,鋼筋混凝土造,94年5月19日,十二層,,
RPUQMLMKQHJGFBH09CC,22,87.65,住家用,鋼筋混凝土造,91年5月16日,十二層,,
RPUQMLMKQHJGFBH09CC,22,9.80,共有部分,鋼筋混凝土造,91年5月16日,十二層,,
RPUQMLMKQHJGFBH09CC,22,47.17,共有部分,鋼筋混凝土造,91年5月16日,十二層,,
RPTQMLMKQHJGFBH98CC,30,85.48,住家用,鋼筋混凝土造,83年6月23日,十層,,
RPTQMLMKQHJGFBH98CC,30,11.13,共有部分,鋼筋混凝土造,83年6月23日,十層,,
RPTQMLMKQHJGFBH98CC,30,22.95,共有部分,鋼筋混凝土造,83年6月23日,十層,,
RPXQMLMKQHJGFBH76CC,4,29.17,集合住宅,鋼筋混凝土造,109年10月8日,十層,,
RPQNMLMKQHJGFCH48CC,3,57.36,集合住宅,鋼筋混凝土造,110年6月21日,二十二層,,
RPQNMLMKQHJGFCH48CC,3,13.99,共有部分：集合住宅、樓梯間、排煙室、中繼水箱、電梯機房、水箱,鋼筋混凝土造,110年6月21日,二十二層,,
RPQNMLMKQHJGFCH48CC,3,41.12,共有部分：防空避難室兼停車空間、消防幫浦室、汙水機房、雨水回收機房、蓄水池、排煙室、停車空間、中繼水箱機房、台電配電場所、發電機室、電信室、防災中心、集合住宅（附屬管委會公共服務空間、垃圾冷藏空間、出入口緩衝空間、警衛室）,鋼筋混凝土造,110年6月21日,二十二層,,
RPVQMLMKQHJGFBH56CC,30,74.19,住家用,鋼筋混凝土造,83年3月30日,七層,,
RPVQMLMKQHJGFBH56CC,30,42.01,共有部分,鋼筋混凝土造,83年3月30日,七層,,
RPWQMLMKQHJGFBH66CC,24,34.73,住家用,鋼筋混凝土造,89年8月8日,十四層,,
RPWQMLMKQHJGFBH66CC,24,7.69,共有部分,鋼筋混凝土造,89年8月8日,十四層,,
RPWQMLMKQHJGFBH66CC,24,.00,共有部分,鋼筋混凝土造,89年8月8日,十四層,,
RPWQMLMKQHJGFBH66CC,24,3.03,共有部分,鋼筋混凝土造,89年8月8日,十四層,,
RPRNMLMKQHJGFCH58CC,46,59.18,住家用,加強磚造,67年8月4日,二層,,
RPPNMLMKQHJGFCH38CC,10,112.69,集合住宅,鋼筋混凝土造,103年9月26日,十八層,,
RPPNMLMKQHJGFCH38CC,10,20.51,共有（停車空間、管委會使用空間、雨遮）,鋼筋混凝土造,103年9月26日,二十二層,,
RPPNMLMKQHJGFCH38CC,10,29.96,共有（陽台、中繼機房、樓電梯間、電梯機房、屋頂水箱）,鋼筋混凝土造,103年9月26日,十八層,,
RPSNMLMKQHJGFCH68CC,23,209.33,停車空間、住宅、梯間,鋼筋混凝土造,90年2月19日,四層,,
RPPNMLMKQHJGFCH38CC,10,3.76,共有（停車空間）,鋼筋混凝土造,103年9月26日,二十二層,,
RPPNMLMKQHJGFCH38CC,10,35.93,共有（停車空間）,鋼筋混凝土造,103年9月26日,二十二層,,
RPTNMLMKQHJGFCH78CC,11,107.69,集合住宅,鋼筋混凝土造,103年1月13日,十七層,,
RPTNMLMKQHJGFCH78CC,11,55.34,集合住宅（附屬停車空間、管理員室、公共服務空間）,鋼筋混凝土造,103年1月13日,十七層,,
RPTNMLMKQHJGFCH78CC,11,26.88,集合住宅（附屬樓梯間、機械室、水箱）,鋼筋混凝土造,103年1月13日,十七層,,
RPQOMLMKQHJGFCH58CC,32,79.05,住家用,鋼筋混凝土造,81年12月14日,五層,,
RPQOMLMKQHJGFCH58CC,32,7.83,見其他登記事項,鋼筋混凝土造,81年12月14日,五層,,
RPROMLMKQHJGFCH68CC,32,79.44,商業用,鋼筋混凝土造,81年12月14日,五層,,
RPROMLMKQHJGFCH68CC,32,7.83,見其他登記事項,鋼筋混凝土造,81年12月14日,五層,,
RPPOMLMKQHJGFCH48CC,25,23.94,住家用,鋼筋混凝土造,88年11月19日,五層,,
RPPOMLMKQHJGFCH48CC,25,13.78,共同使用（停車空間，梯間）,鋼筋混凝土造,88年11月19日,五層,,
RPOOMLMKQHJGFCH38CC,27,72.88,住家用,鋼筋混凝土造,86年6月26日,十二層,,
RPVNMLMKQHJGFCH98CC,27,81.85,住家用,鋼筋混凝土造,86年6月26日,十四層,,
RPOOMLMKQHJGFCH38CC,27,4.80,共有部分,鋼筋混凝土造,86年6月26日,十二層,,
RPVNMLMKQHJGFCH98CC,27,4.23,共有部分,鋼筋混凝土造,86年6月26日,十四層,,
RPOOMLMKQHJGFCH38CC,27,.77,共有部分,鋼筋混凝土造,86年6月26日,十四層,,
RPVNMLMKQHJGFCH98CC,27,.86,共有部分,鋼筋混凝土造,86年6月26日,十四層,,
RPOOMLMKQHJGFCH38CC,27,.30,共同使用（防空避難室，停車場）,鋼筋混凝土造,86年6月26日,十八層,,
RPOOMLMKQHJGFCH38CC,27,.04,共有部分,鋼筋混凝土造,86年6月26日,一層,,
RPVNMLMKQHJGFCH98CC,27,37.05,共同使用（防空避難室，停車場）,鋼筋混凝土造,86年6月26日,十八層,,
RPVNMLMKQHJGFCH98CC,27,.05,共有部分,鋼筋混凝土造,86年6月26日,一層,,
RPXNMLMKQHJGFCH56CC,27,104.11,住家用,鋼筋混凝土造,86年6月26日,十五層,,
RPXNMLMKQHJGFCH56CC,27,6.17,共有部分,鋼筋混凝土造,86年6月26日,十五層,,
RPXNMLMKQHJGFCH56CC,27,1.82,共有部分,鋼筋混凝土造,86年6月26日,十八層,,
RPXNMLMKQHJGFCH56CC,27,38.25,共同使用（防空避難室，停車場）,鋼筋混凝土造,86年6月26日,十八層,,
RPXNMLMKQHJGFCH56CC,27,.06,共有部分,鋼筋混凝土造,86年6月26日,一層,,
RPTOMLMKQHJGFCH88CC,52,147.44,住家用,加強磚造,61年5月30日,二層,,
RPSOMLMKQHJGFCH78CC,45,73.92,住家用,加強磚造,68年4月4日,二層,,
RPPNMLMKQHJGFDH48CC,20,97.83,住家用,鋼筋混凝土造,93年12月28日,10,,
RPPNMLMKQHJGFDH48CC,20,10.27,集合住宅、梯間、機械房、水箱,鋼筋混凝土造,93年12月28日,十層,,
