編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOKPHJGFCT96DA,1,82.43,集合住宅,鋼筋混凝土造,112年11月1日,七層,三層 陽台,全筆移轉
RPPNMLOKPHJGFCT96DA,1,33.64,本共有部分之項目有機械室、台電、水箱、梯間、停車空間、樓梯間及電梯間等七項。,鋼筋混凝土造,112年11月1日,七層,,持分移轉
RPRNMLQJRHJGFDT57DA,,243.60,住家用,鋼筋混凝土造,113年4月19日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLQJRHJGFDT67DA,,238.05,住家用,鋼筋混凝土造,113年4月19日,三層,一層 二層 三層 陽台,全筆移轉
RPWOMLTJRHJGFAT18DA,45,72.22,住家用,加強磚造,68年4月24日,二層,一層 二層,全筆移轉
RPPNMLKKRHJGFAT56DA,1,190.62,住家用,鋼筋混凝土造,112年2月16日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPUNMLKKRHJGFAT07DA,37,101.30,住家用,鋼筋混凝土造,76年4月25日,二層,一層 二層 屋頂突出物,全筆移轉
RPTNMLQLQHJGFCT77DA,11,214.93,住家用,鋼筋混凝土溝造,102年6月27日,三層,一層 二層 三層 陽台,全筆移轉
RPWNMLSLQHJGFDT38DA,25,25.89,機房　停車間,鋼筋混凝土造,88年12月30日,,,持分移轉
RPWNMLSLQHJGFDT38DA,25,219.46,住家用,鋼筋混凝土造,88年12月30日,三層,一層 二層 三層 陽台 屋頂突出物 地下層,全筆移轉
RPPNMLTJRHJGFBT57EA,32,808.85,工業用,鋼造,81年7月15日,一層,一層,全筆移轉
RPPNMLTJRHJGFBT57EA,31,353.85,辦公室，宿舍,鋼筋混凝土造,82年8月31日,四層,一層 二層 三層 四層,全筆移轉
RPPNMLKKRHJGFAT66EA,49,146.02,住家用,鋼筋混凝土加強磚造,64年11月6日,四層,一層,全筆移轉
RPWNMLMJRHJGFAT37DA,30,62.60,住家用,鋼筋混凝土造,83年1月26日,十層,六層 陽台,全筆移轉
RPWNMLMJRHJGFAT37DA,30,23.42,樓梯間，車道，門廊，停車場，防空避難室,鋼筋混凝土造,83年1月26日,十層,,持分移轉
RPPNMLPJRHJGFAT96DA,29,74.22,住家用,鋼筋混凝土造,84年11月25日,十二層,八層 陽台,全筆移轉
RPPNMLPJRHJGFAT96DA,29,29.30,防空避難室兼停車空間梯間,鋼筋混凝土造,84年11月25日,十二層,,持分移轉
RPTNMLPKQHJGFDT67DA,41,71.04,住家用,加強磚造,72年11月19日,一層,一層 屋頂突出物,全筆移轉
RPPNMLLMQHJGFDT07DA,,20.58,住家用,磚造,,一層,一層,全筆移轉
RPOOMLKKRHJGFCT76DA,,518.21,住宅、停車空間、樓梯間,鋼筋混凝土造,113年2月5日,五層,一層 二層 三層 四層 五層 陽台 見其他登記事項,全筆移轉
RPOOMLKKRHJGFCT76DA,,15.82,住宅、門廊,鋼筋混凝土造,113年2月5日,五層,一層 見其他登記事項,全筆移轉
RPSNMLKMQHJGFAT96DA,33,104.32,住家用,鋼筋混凝土造,80年10月16日,七層,七層 陽台,全筆移轉
RPSNMLKMQHJGFAT96DA,33,30.51,地下室，梯間，車道，守衛室,鋼筋混凝土造,80年10月16日,七層,,持分移轉
RPPNMLLKRHJGFDT96DA,21,218.55,集合住宅,鋼筋混凝土造,92年9月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮,全筆移轉
RPWNMLSJQHJGFAT87DA,20,114.28,集合住宅,鋼筋混凝土造,93年9月9日,十四層,十二層 陽台,全筆移轉
RPWNMLSJQHJGFAT87DA,20,66.73,防空避難室、停車空間、活動中心、管理中心、警衛室、門廳、通廊,鋼筋混凝土造,93年9月9日,十四層,,持分移轉
RPQNMLLKRHJGFDT07DA,45,145.80,住家用,加強磚造,68年6月12日,二層,一層 二層,全筆移轉
RPQNMLQJRHJGFAT17DA,,63.03,集合住宅,鋼筋混凝土造,113年1月31日,五層,二層 陽台,全筆移轉
RPQNMLQJRHJGFAT17DA,,38.80,本件共有部分項目：機電設備、電樓梯間、停車空間、樓梯間等共４項。,鋼筋混凝土造,113年1月31日,五層,,持分移轉
RPSNMLQJRHJGFAT37DA,,56.31,集合住宅,鋼筋混凝土造,113年1月31日,五層,五層 陽台,全筆移轉
RPSNMLQJRHJGFAT37DA,,36.14,本件共有部分項目：機電設備、電樓梯間、停車空間、樓梯間等共４項。,鋼筋混凝土造,113年1月31日,五層,,持分移轉
RPQNMLLJRHJGFDT96DA,20,337.25,住家用,鋼筋混凝土造,93年11月30日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
