編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLMKQHJGFFE68CC,2,57.27,本共有部分之項目有停車空間、管委會空間、車道、防災中心、門廊、梯間、交誼室、中繼水箱、樓梯間、機械室、水箱等共１１項。,鋼筋混凝土造,111年12月2日,二十二層,,
RPPNMLMKQHJGFGE48CC,53,81.38,住家用,加強磚造,60年5月20日,二層,,
RPRNMLMKQHJGFFE58CC,36,33.05,住家用,鋼筋混凝土造,77年6月9日,三層,,
RPRNMLMKQHJGFGE68CC,39,70.20,住商用,鋼筋混凝土造,75年1月7日,二層,,
RPQNMLMKQHJGFGE58CC,4,77.84,集合住宅,鋼筋混凝土造,110年1月4日,十五層,,
RPQNMLMKQHJGFGE58CC,4,55.93,本共有部分之項目有法定防空避難室兼停車空間、車道、管理委員會使用空間、門廳、梯間、管道間、樓梯間、昇降機間、水箱及機械室等項。,鋼筋混凝土造,110年1月4日,十五層,,
RPUNMLMKQHJGFGE98CC,44,73.01,住家用,鋼筋混凝土造,69年12月29日,五層,,
RPTNMLMKQHJGFGE88CC,56,164.29,住家用,加強磚造,58年1月25日,三層,,
RPWNMLMKQHJGFGE56CC,39,82.52,住家用,鋼筋混凝土造,74年4月1日,五層,,
RPVNMLMKQHJGFGE09CC,40,106.83,住家用,鋼筋混凝土造,74年1月28日,二層,,
RPPNMLMKQHJGFIE68CC,1,54.91,集合住宅,鋼筋混凝土,112年11月15日,七層,,
RPPNMLMKQHJGFIE68CC,1,16.55,本共有部分之項目有樓梯間、機電設備空間、停車空間、機械室等４項,鋼筋混凝土,112年11月15日,七層,,
RPXNMLMKQHJGFGE66CC,45,98.82,住商用,加強磚造,68年12月6日,二層,,
RPQNMLMKQHJGFIE78CC,1,56.51,集合住宅,鋼筋混凝土,112年8月30日,七層,,
RPQNMLMKQHJGFLE09CC,16,9.23,辦公室,鋼筋混凝土造,97年12月19日,六層,,
RPQNMLMKQHJGFIE78CC,1,16.28,本共有部分之項目有停車空間、電信室、台電配電室、發電機室及消防機械室、樓梯間、機械室、水箱等８項,鋼筋混凝土,112年8月30日,七層,,
