鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,46.87,住,,,1130815,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,109.75,3,2,2,有,無,17050000,158299,一樓平面,15.94,2200000,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLPJRHJGFDK86CB,一百分,A2棟3F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,38.0,住,,,1130815,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,91.98,2,2,1,有,無,14380000,160179,一樓平面,15.94,2200000,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPJRHJGFDK96CB,一百分,B1棟5F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,38.95,住,,,1130815,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,93.88,2,2,1,有,無,14450000,157172,一樓平面,15.94,2200000,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLPJRHJGFDK07CB,一百分,B2棟5F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,49.3,住,,,1130817,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,114.65,3,2,2,有,無,17600000,156013,一樓平面,15.94,2200000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRJRHJGFDK56CB,一百分,A3棟4F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,46.87,住,,,1130817,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,109.75,3,2,2,有,無,17800000,166294,一樓平面,15.94,2200000,,RPRNMLRJRHJGFDK76CB,一百分,A1棟3F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,46.87,住,,,1130817,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,109.75,3,2,2,有,無,18100000,168426,一樓平面,15.94,2300000,,RPSNMLRJRHJGFDK86CB,一百分,A2棟5F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,43.91,住,,,1130819,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,103.69,3,2,2,有,無,15880000,155897,一樓平面,15.94,2200000,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLRJRHJGFDK96CB,一百分,A5棟3F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,43.91,住,,,1130819,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,103.69,3,2,2,有,無,15880000,155897,一樓平面,15.94,2200000,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLRJRHJGFDK07CB,一百分,A5棟4F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮光復路480號旁,16.65,住,,,1130815,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.37,2,2,1,有,無,12230000,135354,坡道平面,27.88,1200000,,RPTNMLKKRHJGFDK98CB,弘峻築南大苑,A1棟5F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮光復路480號旁,17.15,住,,,1130814,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.02,2,2,2,有,無,12860000,136202,坡道平面,27.88,1400000,,RPUNMLKKRHJGFDK09CB,弘峻築南大苑,B3棟14F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮光復路480號旁,17.15,住,,,1130816,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.02,2,2,2,有,無,13020000,134538,坡道平面,27.88,1700000,,RPVNMLKKRHJGFDK56CB,弘峻築南大苑,C3棟10F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,38.95,住,,,1130816,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,93.88,2,2,1,有,無,14880000,161406,一樓平面,15.94,2300000,,RPWNMLKKRHJGFDK66CB,一百分,B2棟2F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,38.95,住,,,1130816,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,93.88,2,2,1,有,無,14980000,162689,一樓平面,15.94,2300000,,RPXNMLKKRHJGFDK76CB,一百分,B2棟4F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專五路329號旁,38.0,住,,,1130820,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,91.98,2,2,1,有,無,14450000,161099,一樓平面,15.94,2200000,,RPOOMLKKRHJGFDK58CB,一百分,B1棟2F號,
