鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中正區,租賃房屋,臺北市中正區延平南路１６０號,0.0,,,,1130729,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0560407,19.07,12,0,12,有,無,有,13500,708,,0.0,0,407號房,RPVPMLMKQHJGFBA38CC,分租套房,無,1130729~1140728,無,冷氣、熱水器、洗衣機、電視機、冰箱,
萬華區,租賃房屋,臺北市萬華區長沙街二段７１之１號,0.0,,,,1130730,土地0建物0車位0,全,5,透天厝,,加強磚造,,19.72,24,2,15,有,無,有,13600,690,,0.0,0,206號房,RPWPMLMKQHJGFBA48CC,分租套房,無,1130730~1140228,無,冷氣、熱水器、洗衣機、電視機、冰箱,
萬華區,租賃房屋,臺北市萬華區青年路１６８巷１０號五樓,0.0,,,,1130722,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640523,37.87,2,1,1,有,無,有,12000,317,,0.0,0,,RPXPMLMKQHJGFBA58CC,整棟(戶)出租,無,1130813~1140812,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
萬華區,租賃房屋,臺北市萬華區漢口街二段４１之２號,0.0,,,,1130729,土地0建物0車位0,全,4,透天厝,,加強磚造,,22.12,21,0,21,有,無,有,8800,398,,0.0,0,306號房,RPOQMLMKQHJGFBA77CC,分租套房,無,1130729~1140728,無,冷氣、熱水器、洗衣機、電視機、冰箱,
萬華區,租賃房屋,臺北市萬華區中華路二段５０４巷５５號十樓,0.0,,,,1130722,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680403,46.08,2,1,1,有,有,有,15600,339,,0.0,0,,RPPQMLMKQHJGFBA87CC,整棟(戶)出租,有,1130725~1140724,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
萬華區,租賃房屋,臺北市萬華區萬大路３１２巷２號４樓,0.0,,,,1130808,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640408,93.13,3,2,1,有,無,無,23000,247,,0.0,0,,RPQQMLMKQHJGFBA97CC,整棟(戶)出租,無,1130811~1140810,無,瓦斯或天然氣,
萬華區,租賃房屋,臺北市萬華區西園路二段３７２巷１０１弄３號三樓,0.0,,,,1130722,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0580625,30.94,2,1,1,有,無,有,10000,323,,0.0,0,,RPRQMLMKQHJGFBA08CC,整棟(戶)出租,無,1130820~1140819,無,熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅包租轉租
大同區,租賃房屋,臺北市大同區華陰街１７９號４樓,0.0,,,,1130717,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0640815,26.45,11,4,11,有,無,有,18700,707,,0.0,0,,RPTQMLMKQHJGFBA28CC,分租套房,無,1130722~1131031,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
大同區,租賃房屋,臺北市大同區長安西路３３６號,0.0,,,,1130713,土地0建物0車位0,全,6,透天厝,住商用,鋼筋混凝土造,0561110,16.53,35,16,29,有,無,有,15000,907,,0.0,0,,RPUQMLMKQHJGFBA38CC,分租套房,無,1130807~1140906,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大同區,租賃房屋,臺北市大同區長安西路３３６號,0.0,,,,1130716,土地0建物0車位0,全,6,透天厝,住商用,鋼筋混凝土造,0561110,33.06,35,16,29,有,無,有,18000,544,,0.0,0,,RPVQMLMKQHJGFBA48CC,分租套房,無,1130814~1140813,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
