鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區經國路８９８號八樓,39.1,工,,,1130801,土地1建物1車位4,八層,十九層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1011112,474.49,0,0,0,無,有,37800000,87908,坡道平面,144.6,8800000,,RPXNMLLJQHJGFEH09DA,208.68,0.0,0.0,有,0017
蘆竹區,土地,內興段818地號,118.54,,特定農業區,農牧用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3720000,31382,,0.0,0,,RPVPMLKLQHJGFEH56DA,0.0,0.0,0.0,無,0018
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南祥路３９２號二樓,65.63,住,,,1130807,土地1建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111129,320.38,3,2,3,有,有,39600000,135707,坡道平面,55.84,3700000,以上內容依買賣雙方之買賣契約書登錄。,RPQOMLNLQHJGFEH88DA,149.89,0.0,20.0,有,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區奉化路２９０號二樓,26.71,住,,,1130828,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950221,200.86,4,2,2,有,有,17800000,88619,坡道平面,0.0,0,,RPUOMLNJRHJGFEH56DA,99.34,2.93,12.37,有,
大園區,土地,竹圍段三塊石小段262地號,2705.0,農,,,1130805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,109237710,40384,,0.0,0,,RPRNMLQJRHJGFEH09DA,0.0,0.0,0.0,無,0019
大園區,土地,橫山段湳子小段419-30地號,156.0,農,,,1130807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5500000,35256,,0.0,0,,RPSNMLQJRHJGFEH56DA,0.0,0.0,0.0,無,
平鎮區,土地,和平段38地號,36.01,住,,,1130813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4357210,121000,,0.0,0,,RPPNMLMJRHJGFGH68DA,0.0,0.0,0.0,無,0020
平鎮區,房地(土地+建物)+車位,桃園市平鎮區上海路１５７號十二樓,19.55,商,,,1130819,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951213,159.98,3,2,2,有,有,12200000,76264,坡道平面,0.0,0,,RPRNMLQJRHJGFGH66DA,75.14,1.72,10.85,有,0021
龜山區,房地(土地+建物)+車位,桃園市龜山區文桃路３４３號二十樓,17.53,住,,,1130807,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130418,164.95,2,2,1,有,有,20030000,121431,坡道平面,26.34,0,,RPPNMLSJQHJGFHH66DA,82.02,0.0,10.43,有,0022
蘆竹區,土地,富興段273地號,1158.0,農,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,58500000,50518,,0.0,0,,RPPNMLTJRHJGFEH66EA,0.0,0.0,0.0,無,
