鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
佳冬鄉,土地,新埔段619-3地號,1908.31,,一般農業區,農牧用地,1130807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2557490,1340,,0.0,0,,RPQNMLLKRHJGFFT27DA,0.0,0.0,0.0,無,
長治鄉,土地,水源段464-3地號,104.46,,一般農業區,水利用地,1130806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1462440,14000,,0.0,0,水利地承購；,RPPNMLLKRHJGFAT76EA,0.0,0.0,0.0,無,
枋山鄉,房地(土地+建物),屏東縣枋山鄉嘉和１２１號,65.02,,鄉村區,乙種建築用地,1130824,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690821,117.8,4,3,2,有,無,700000,5942,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLTJRHJGFFT08EA,117.8,0.0,0.0,無,
屏東市,房地(土地+建物),屏東縣屏東巿瑞光路三段２９１號,75.0,住,,,1130802,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0941230,153.64,5,2,5,有,無,14000000,91122,,0.0,0,頂樓加蓋；其他增建；,RPSNMLRLQHJGFAT57DA,130.95,22.69,0.0,無,013
長治鄉,土地,進興段663-3地號,40.84,農,,,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,717000,17556,,0.0,0,,RPRNMLSLQHJGFAT57DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉昌宏路７４號,95.3,,鄉村區,乙種建築用地,1130804,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0840727,146.8,4,2,3,有,無,6750000,45981,,0.0,0,含傢俱設備費；頂樓加蓋；其他增建；,RPSNMLRJQHJGFCT57DA,131.66,7.14,8.0,無,014
內埔鄉,土地,和興段245地號,320.77,都市：其他:道路用地,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1100000,3429,,0.0,0,包含公共設施保留地用地；,RPXNMLKKRHJGFCT57DA,0.0,0.0,0.0,無,
南州鄉,土地,七塊段757地號,2251.26,,一般農業區,農牧用地,1130814,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,2221,,0.0,0,,RPTNMLRLQHJGFDT97DA,0.0,0.0,0.0,無,
滿州鄉,土地,滿林段699地號,7.92,,山坡地保育區,農牧用地,1130809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12000,1515,,0.0,0,,RPQNMLTJQHJGFET77DA,0.0,0.0,0.0,無,
車城鄉,土地,興安段71地號,204.33,都市：其他:住宅區,,,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,9788,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLSLQHJGFET87DA,0.0,0.0,0.0,無,
