編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLSLQHJGFAN17CC,15,79.35,防空避難室、停車空間、機電設備空間、守衛室、樓電梯間、機房、水箱、社區遊憩空間、社區川廊、管委會辦公室等等,鋼筋混凝土造,98年8月21日,七層,,
RPRNMLSLQHJGFAN07CC,24,83.27,住家用,鋼筋混凝土造,89年8月9日,七層,,
RPRNMLSLQHJGFAN07CC,24,29.80,防空避難室、停車空間、梯間,鋼筋混凝土造,89年8月9日,七層,,
RPPNMLNJRHJGFDN56CC,3,17.32,店舖、住宅、梯間,鋼筋混凝土造,110年7月1日,三層,,
RPRNMLOJRHJGFAN56CC,50,19.83,住家用,鋼筋混凝土加強磚造,64年1月17日,三層,,
RPPNMLPJRHJGFDN76CC,28,145.32,住家用,鋼筋混凝土造,85年2月12日,十三層,,
RPRNMLQJRHJGFDN07CC,17,53.04,住商用,鋼筋混凝土造,96年5月15日,四層,,
RPPNMLPJRHJGFDN76CC,28,.17,商業用,鋼筋混凝土造,85年2月12日,十三層,,
RPPNMLPJRHJGFDN76CC,28,58.32,陽台、水塔、車道、機械室、梯間、機房、電梯、樓梯、受電室,鋼筋混凝土造,85年2月12日,十三層,,
RPTNMLSLQHJGFAN27CC,18,18.67,住家用,鋼筋混凝土造,95年5月22日,五層,,
RPTNMLSLQHJGFAN27CC,18,2.30,機房,鋼筋混凝土造,95年5月22日,五層,,
RPTNMLSLQHJGFAN27CC,18,11.20,走廊、梯廳、停車空間、發電機室,鋼筋混凝土造,95年5月22日,五層,,
RPPNMLLKRHJGFDN09CC,12,21.44,住家用,鋼筋混凝土造,101年5月25日,五層,,
RPPNMLLKRHJGFDN09CC,12,15.95,停車空間、住宅、樓梯間、水箱、機房,鋼筋混凝土造,101年5月25日,五層,,
RPRNMLLKRHJGFDN66CC,11,18.18,人行道、店舖、停車空間、住宅,鋼筋混凝土造,102年4月30日,五層,,
RPQNMLLKRHJGFDN56CC,12,21.44,住家用,鋼筋混凝土造,101年5月25日,五層,,
RPQNMLLKRHJGFDN56CC,12,15.95,停車空間、住宅、樓梯間、水箱、機房,鋼筋混凝土造,101年5月25日,五層,,
